turma_id,semestre,codigo,turma,encontro,dia,inicio,fim,sala,horario_original,sala_original,valor_original,pagina_pdf,arquivo_origem
2026-1-TCC00371-A1,2026-1,TCC00371,A1,1,terca,09:00,11:00,308,09:00-11:00,SALA 308,09:00-11:00 SALA 308,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00371-A1,2026-1,TCC00371,A1,2,quinta,09:00,11:00,308,09:00-11:00,SALA 308,09:00-11:00 SALA 308,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00296-A1,2026-1,TCC00296,A1,1,terca,14:00,16:00,213,14:00-16:00,SALA 213,14:00-16:00 SALA 213,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00296-A1,2026-1,TCC00296,A1,2,quinta,14:00,16:00,213,14:00-16:00,SALA 213,14:00-16:00 SALA 213,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00296-B1,2026-1,TCC00296,B1,1,terca,07:00,09:00,202,07:00-09:00,SALA 202,07:00-09:00 SALA 202,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00296-B1,2026-1,TCC00296,B1,2,quinta,07:00,09:00,202,07:00-09:00,SALA 202,07:00-09:00 SALA 202,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00332-A1,2026-1,TCC00332,A1,1,terca,18:00,20:00,317,18:00-20:00,SALA 317,18:00-20:00 SALA 317,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00332-A1,2026-1,TCC00332,A1,2,quinta,18:00,20:00,317,18:00-20:00,SALA 317,18:00-20:00 SALA 317,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00332-B1,2026-1,TCC00332,B1,1,terca,20:00,22:00,317,20:00-22:00,SALA 317,20:00-22:00 SALA 317,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00332-B1,2026-1,TCC00332,B1,2,quinta,20:00,22:00,317,20:00-22:00,SALA 317,20:00-22:00 SALA 317,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00354-A1,2026-1,TCC00354,A1,1,terca,18:00,20:00,313,18:00-20:00,SALA 313,18:00-20:00 SALA 313,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00354-A1,2026-1,TCC00354,A1,2,quinta,18:00,20:00,313,18:00-20:00,SALA 313,18:00-20:00 SALA 313,2,dados/brutos/QH-2026-1.pdf
